"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"88","H2x41","H","63","49","2","41","2",2,1,3,0.179337223,0.19085507,0.185096146,0.460350952,0.323213444,3,0.301283635,0.273420362,0.287351998,0.447541749,0.346412532
"135","H3x41","H","51","49","3","41","0",1,0,2,0.1308053,0.125483636,0.128144468,0.461536319,0.319109751,2,0.224136059,0.172940294,0.198538177,0.450564618,0.344460944
"182","H4x41","H","59",NA,"4","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","H5x41","H","85","85","5","41","0",2,0,2,0.066105766,0.094852294,0.08047903,0.460032354,0.33118116,2,0.143199068,0.09348594,0.118342504,0.451661514,0.348634359
"276","H6x41","H","72","72","6","41","0",2,0,2,0.040031944,0.048599441,0.044315693,0.460656644,0.331449831,2,0.096167842,0.064642266,0.080405054,0.4495094,0.351919489
"323","H7x41","H","90","90","7","41","0",1,0,3,0.029632314,0.040034224,0.034833269,0.452762588,0.325325243,2,0.119947627,0.08320489,0.101576259,0.453085327,0.339554585
"370","H8x41","H","47","74","8","41","1",2,2,3,0.205256089,0.24492383,0.225089959,0.470928177,0.3245359,3,0.28512317,0.282123498,0.283623334,0.464917859,0.345555806
"417","H9x41","H","71","80","9","41","2",3,1,3,0.149116473,0.198713971,0.173915222,0.461965843,0.334746934,3,0.377867155,0.383782379,0.380824767,0.474595038,0.356718066
"464","H10x41","H","50","49","10","41","1",1,0,2,0.044375889,0.055098102,0.049736995,0.450599994,0.31544822,2,0.177308703,0.138092142,0.157700423,0.453488902,0.355462523
"511","H11x41","H","58","58","11","41","2",3,2,3,0.132969305,0.144281683,0.138625494,0.454426793,0.336795153,0,0.079876067,0.039388843,0.059632455,0.443882758,0.360463597
"42","H1x42","H","73","73","1","42","3",3,2,4,0.373051319,0.41052321,0.391787265,0.494104427,0.330037001,3,0.430590481,0.365237974,0.397914227,0.478327755,0.356203363
"89","H2x42","H","92","92","2","42","0",1,1,2,0.079006404,0.105287543,0.092146974,0.455163056,0.322468401,2,0.218374478,0.142650321,0.180512399,0.448320789,0.339551484
